row_index,variety,approval_no,approval_year,level,province,is_hybrid,three_line,two_line,subspecies,season_hint,region_group,yield_2yr_kg_mu,yield_gain_pct,ck,yield_prod_kg_mu,gain_prod_pct,duration_d,duration_diff_d,plant_height_cm,panicles_10k_mu,panicle_len_cm,grains_per_panicle,seed_setting_pct,tgw_g,blast_index_mean,blast_index_max,neck_blast_loss_max_grade,blast_text,blb_grade,blb_text,bph_grade,heat_text,cold_text,head_rice_pct,chalkiness_deg_pct,chalky_grain_pct,amylose_pct,gel_mm,lw_ratio,alkali,quality_grade,quality_std,is_winall,applicant,source_text_len
40,中早35,国审稻2010005,2010.0,国审,,False,False,False,籼,双季,长江中下游早籼早中熟组,508.7,8.8,浙733,464.6,6.0,110.6,0.6,91.9,20.1,18.1,118.7,83.5,27.3,5.6,5.6,,,5.0,,9.0,,,63.6,28.5,100.0,25.0,60.0,2.0,,,,False,中国水稻研究所,448
41,金粳18,国审稻2010049,2010.0,国审,,False,False,False,粳,,黄淮粳稻组,610.1,1.2,9优418,574.0,0.2,153.6,,91.1,,16.6,141.8,86.1,24.8,,,3.0,,,,,,,68.0,1.0,10.0,16.7,83.0,,,1.0,《优质稻谷》,False,天津市水稻研究所,393
42,甬优2640,浙审稻2013024,2013.0,省审,浙,False,True,False,粳,,,,,秀水417,556.1,10.4,125.7,2.6,96.0,19.1,19.1,189.4,75.9,24.4,,,,,,,,,,66.7,3.5,23.5,16.8,63.0,2.2,,,部颁,False,宁波市种子有限公司,545
43,两优3905,国审稻2013025,2013.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,562.6,1.8,Ⅱ优838,572.6,8.1,137.6,3.4,127.8,14.4,24.9,203.7,79.1,27.6,6.0,6.0,,高感稻瘟病,9.0,,9.0,,,62.4,1.8,20.0,17.0,69.0,3.0,,2.0,《优质稻谷》,False,合肥丰乐种业股份有限公司,420
44,郑旱10号,国审稻2012043,2012.0,国审,,False,False,False,粳,,,322.9,,旱稻277,371.1,7.1,118.0,3.0,83.6,,14.7,74.3,88.5,28.1,,,3.0,中抗稻瘟病,,,,,,62.4,2.8,,17.1,79.0,,,,,False,河南省农业科学院,357
45,Y两优6号,,,,,True,True,False,籼,中籼,,,,Ⅱ优838,,,,0.5,,15.24,,,89.24,26.28,,,,,,,,,,,,,,,,,,,False,湖南希望种业科技有限公司,255
46,C两优9号,国审稻2013013,2013.0,国审,,True,False,True,籼,中稻,长江中下游中籼迟熟组,574.8,,Ⅱ优838,565.9,6.7,136.0,1.8,116.2,17.3,24.8,186.6,77.9,24.6,2.8,2.8,,感稻瘟病,5.0,感白叶枯病,9.0,,,63.6,1.8,20.0,15.3,81.0,3.1,,3.0,《优质稻谷》,False,湖南农业大学,413
47,Y两优1号,国审稻2013008,2013.0,国审,,True,False,True,籼,中稻,长江上游中籼组,582.5,,Ⅱ优838,619.5,7.6,160.8,2.6,108.2,15.8,24.7,181.2,80.9,26.1,6.4,6.4,,感稻瘟病,,,9.0,,,67.2,4.3,29.0,17.2,80.0,2.8,,3.0,《优质稻谷》,False,湖南杂交水稻研究中心,400
48,川优6203,国审稻2014016,2014.0,国审,,True,True,False,籼,中稻,长江上游中籼迟熟组,585.4,,Ⅱ优838,571.2,4.8,156.3,-0.5,111.6,15.2,25.6,,80.8,29.0,3.6,3.6,,中感稻瘟病,,,9.0,,,58.7,2.3,28.0,17.5,75.0,3.5,,2.0,《优质稻谷》,False,四川省农业科学院作物研究所,399
49,淮稻14号,,,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,3
