row_index,variety_name,品种名称,品种来源,特征特性,审定编号,选育单位,作物种类,产量表现,栽培技术要点,申请者,育种者,适宜种植区域
11,隆两优华占,隆两优华占,隆科638S×华占（SC2-S6测恢系选）杂交选配的杂交一季稻组合,全生育期127.7天，比对照Y两优1号迟熟0.4天。该品种株型适中，剑叶挺直，长势繁茂，分蘖力强，有效穗多，稃尖无色，穗粒数多，结实率高，千粒重较小，熟期转色好。株高118.5厘米，亩有效穗18.5万，穗长23.7厘米，每穗总粒数175.3粒，实粒数144.9粒，结实率82.7%，千粒重23.6克。出糙率79.0％，精米率70.7％，整精米率68.3％，粒长6.7mm，粒型长宽比3.4，垩白粒率10％，垩白度2.4％，直链淀粉13.2％，胶稠度90mm。稻瘟病抗性自然诱发鉴定：穗颈瘟为9级，高感稻瘟病。,赣审稻2015003,江西众人种业有限责任公司,,2013-2014年参加江西省水稻区试，2013年平均亩产600.12公斤，比对照Y两优1号增产7.64%，极显著；2014年平均亩产635.88公斤，比对照Y两优1号增产9.40%，极显著。两年平均亩产618.00公斤，比对照Y两优1号增产8.52%。,5月18日左右播种，秧田播种量每亩10公斤，大田用种量每亩1.0公斤。秧龄不超过30天。栽插规格6寸×8寸，每穴插2-3粒谷苗。亩施25%水稻专用复混肥40公斤作底肥，栽后5-7天亩追施尿素5-6公斤，孕穗期亩追施氯化钾7.5公斤。深水活蔸，干湿相间促分蘖，够苗晒田，浅水孕穗，湿润灌浆，后期不要断水过早。根据当地农业部门病虫预报，及时防治稻瘟病、稻曲病、纹枯病、二化螟、稻纵卷叶螟、稻飞虱等病虫害。,,,
12,两优1128,两优1128,P88S×R1128,该品种属两系杂交一季晚稻。省区试结果：在我省作一季晚稻栽培，全生育期127天。株高120厘米，茎秆粗壮，耐肥抗倒力强，株型适中，生长势较强，叶鞘、稃尖紫红色，中长芒，叶下禾，后期落色好。每亩有效穗14万穗，每穗总粒数195.8粒，结实率76.6%，千粒重29.6克。抗性：平均叶瘟4.3级，穗瘟7.7级，稻瘟病综合抗性指数5.2，高感稻瘟病，耐高温能力强，耐低温能力中等。米质：糙米率82.3%，精米率73.8%，整精米率51.1%，粒长7.3毫米，长宽比3.1，垩白粒率39%，垩白度5.9%，透明度2级，碱消值4.2级，胶稠度80毫米，直链淀粉含量14.6%。,湘审稻2011024,湖南杂交水稻研究中心,水稻,2009年省区试平均亩产558.7公斤，比对照汕优63增产3.76%，不显著，2010年省区试平均亩产577.8公斤，比对照增产8.62%，极显著，两年区试平均亩产568.3公斤，比对照增产6.19%，日产量4.48公斤，比对照高0.12公斤。,在我省作一季晚稻种植， 5月上中旬播种，每亩大田用种量1.5公斤，每亩秧田播种量10公斤，秧龄30天以内，种植密度20厘米×26厘米，每蔸插2粒谷秧，每亩基本苗5-7万。基肥足、追肥速、中后期酌情补。抽穗扬花后间歇灌溉，保持田间湿润，不要脱水过早。注意防治稻飞虱、稻瘟病等病虫害。,,,
13,黄华占,黄华占,黄新占/丰华占,该品种株高适中，分蘖力较强，剑叶窄而挺，微卷，剑叶角度小，谷粒较长，谷壳黄亮，稃尖无色，千粒重较低。两年平均全生育期127.4天，比对照短6.8天；平均株高102.0厘米，亩有效穗18.2万，成穗率68.7%，穗长23.0厘米，每穗总粒数156.1粒，实粒数139.8粒，结实率89.6%，千粒重23.2克。经省农科院植微所2007-2008年两年抗性鉴定，平均叶瘟1.7级，穗瘟6.3级，穗瘟损失率17.4%，综合指数分别为3.4和6.0；白叶枯病5.0级，褐稻虱8.0级。经农业部稻米及制品质量监督检测中心2007-2008年两年米质检测，平均整精米率64.4%，长宽比3.3，垩白粒率16.0%，垩白度2.4%，透明度2级，胶稠度64.0mm，直链淀粉含量17.2%，其两年米质指标分别达到食用稻品种品质部颁3等和1等。,浙审稻2010014,广东省农业科学院水稻研究所,,黄华占经2007年省单季杂交晚籼稻区试，平均亩产515.2公斤，比对照两优培九减产4.1%，未达显著水平；2008年省单季杂交晚籼稻区试，平均亩产547.9公斤，比对照两优培九减产1.2%，未达显著水平；两年省区试平均亩产531.6公斤，比对照减产2.6%。2009年省生产试验平均亩产535.3公斤，与对照平产。,,,,
14,徽两优898,徽两优898,1892S×YR0822,籼型两系杂交水稻品种。在长江中下游作一季中稻种植，全生育期133.6天，比对照丰两优四号短2.0天。株高107.9厘米，穗长23.8厘米，每亩有效穗数17.6万穗，每穗总粒数189.7粒，结实率83.8%，千粒重23.5克。抗性：稻瘟病综合指数2.8，穗瘟损失率最高级5级；白叶枯病5级；褐飞虱9级；抽穗期耐热性中等；中感稻瘟病，中感白叶枯病，高感褐飞虱。米质主要指标：整精米率59.6%，长宽比3.2，垩白粒率12%，垩白度1.9%，胶稠度78毫米，直链淀粉含量13.0%。,国审稻2015028,,,2012年参加长江中下游中籼迟熟组区域试验，平均亩产614.8千克，比对照丰两优四号增产3.4%；2013年续试，平均亩产615.7千克，比丰两优四号增产4.0%；两年区域试验平均亩产615.2千克，比丰两优四号增产3.7%。2014年生产试验，平均亩产624.1千克，比丰两优四号增产7.0%。,1.一般4月底5月初播种，秧田亩播种量不超过15千克，稀播育壮秧。2.秧龄25～30天，亩栽1.5万穴左右，每穴1～2粒种子苗。3.亩用纯氮15千克左右，施足基肥，早施分蘖肥，适施穗肥，氮、磷、钾肥配合施用。4.浅水栽秧，寸水保苗，返青后干干湿湿促分蘖，抽穗扬花期保持浅水层，后期忌断水过早。5.注意防治稻曲病等病虫害。,安徽荃银高科种业股份有限公司,安徽荃银高科种业股份有限公司、安徽省农业科学院水稻研究所,
15,广两优1128,广两优1128,广占63S×HR1128,该品种属两系杂交迟熟中稻。省区试结果：在我省作中稻栽培，全生育期平均137.5天。株高117.9厘米，株型适中，生长势强，植株整齐度整齐，叶姿直立，叶鞘绿色，稃尖秆黄色，短顶芒，半叶下禾，后期落色好。每穗总粒数191.1粒，结实率81.7%，千粒重28.6克。抗性：叶瘟5.0级，穗颈瘟6.7级，稻瘟病抗性综合指数4.8。白叶枯病抗性4级，稻曲病抗性6级。耐高温能力中等，耐低温能力中等。米质：出糙率80.8%，精米率71.0%，整精米率60.4%，粒长7.2毫米，长宽比3.1，垩白粒率40%，垩白度3.2%，透明度1级，碱消值5级，胶稠度88毫米，直链淀粉含量15%。,湘审稻2013012,袁隆平农业高科技股份有限公司、湖南杂交水稻研究中心,水稻,2011年省区试平均亩产655.05公斤，比对照Y两优1号增产5.96%，增产极显著。2012年省区试平均亩产644.83公斤，比对照增产3.14%，增产显著。两年区试平均亩产649.94公斤，比对照增产4.55%，日产量4.74公斤，比对照高0.30公斤。,,,,
16,宜香优2115,宜香优2115,宜香1A×雅恢2115,籼型三系杂交水稻品种。长江上游作一季中稻种植，全生育期平均156.7天，比对照Ⅱ优838短1.5天。每亩有效穗数15.0万穗，株高117.4厘米，穗长26.8厘米，每穗总粒数156.5粒，结实率82.2%，千粒重32.9克。抗性：稻瘟病综合指数3.6，穗瘟损失率最高级5级，抗性频率33.7%，褐飞虱9级，中感稻瘟病，高感褐飞虱。米质主要指标：整精米率54.5%，长宽比2.9，垩白粒率15.0%，垩白度2.2%，胶稠度78毫米，直链淀粉含量17.1%，达到国家《优质稻谷》标准2级。,国审稻2012003,四川省绿丹种业有限责任公司、四川农业大学农学院、宜宾市农业科学院,,2010年参加长江上游中籼迟熟组区域试验，平均亩产598.8千克，比对照Ⅱ优838增产6.7%；2011年续试，平均亩产608.9千克，比Ⅱ优838增产4.6%。两年区域试验平均亩产603.9千克，比Ⅱ优838增产5.6%。2011年生产试验，平均亩产623.3千克，比Ⅱ优838增产7.1%。,1.秧田亩播种量10千克，采用地膜覆盖保温育秧，秧龄30～40天。2.宽窄行栽插，亩栽1.2～1.5万穴、基本苗10万左右。3.大田以有机肥为主，氮、磷、钾肥配合施用，亩施纯氮10千克，氮、磷、钾比例为1：0.5：0.5；重底早追。4.浅水栽秧，深水护苗，薄水分蘖，够苗晒田，后期忌脱水过早。5.重点做好稻瘟病、纹枯病、稻螟、稻飞虱等病虫害防治。,,,
17,晶两优华占,晶两优华占,晶4155S×华占,"该品种属籼型两系杂交一季晚稻。省区试结果：在我省作一季晚稻栽培，全生育期126.8天。株高120厘米，株型适中，生长势较强，植株整齐，分蘖力强，叶姿直立，叶鞘绿色，稃尖秆黄色，无芒，叶下禾，后期落色好。每亩有效穗19.4万穗, 每穗总粒数172.7粒，结实率77.9%，千粒重23.2克。抗性：叶瘟2.3级，穗颈瘟2.7级，稻瘟病抗性综合指数1.7，白叶枯病6级，稻曲病3.5级。耐高温能力中等，耐低温能力强。米质：糙米率80.2%，精米率73.3%，整精米率66.2%，粒长6.4毫米，长宽比3.2，垩白粒率19%，垩白度4.5%，透明度2级，碱消值6.5级，胶稠度85毫米，直链淀粉含量15.4%。",湘审稻2015022,湖南亚华种业科学研究院、中国水稻研究所,水稻,2013年省区试平均亩产587.77公斤，比对照增产0.98%。2014年省区试平均亩产625.78公斤，比对照增产3.41%。两年区试平均亩产606.78公斤，比对照增产2.20%，日产量4.79公斤，比对照高0.83%。,"5月20日左右播种，每亩大田用种量0.75公斤，每亩秧田播种量10公斤, 浸种时进行种子消毒。稀播培育壮秧；叶龄5.5叶左右移栽, 秧龄控制在30天以内；插植规格20厘米×26厘米，每蔸插2-3粒谷秧，每亩插基本苗6万以上；需肥水平中上，一般亩施纯氮12公斤，五氧化二磷6公斤、氧化钾6.5公斤，采取重施底肥，早施追肥，后期看苗补施穗肥的施肥方法。加强田间管理，注意防治稻飞虱、稻螟虫、稻曲病等病虫害。",,,
18,泰优390,泰优390,泰丰A×广恢390,该品种属三系杂交迟熟晚稻。省区试结果：在我省作晚稻栽培，全生育期118.5天。株高105.2厘米，株型适中，生长势强，植株整齐度一般，叶姿平展，叶鞘绿色，稃尖秆黄色，短顶芒，叶下禾，后期落色好。每亩有效穗20.25万穗，每穗总粒数149.55粒，结实率81.0%，千粒重25.2克；抗性：叶瘟4.8级，穗颈瘟6.7级，稻瘟病抗性综合指数4.7。白叶枯病抗性6级，稻曲病抗性6级。耐低温能力中等。米质:出糙率81.6%，精米率73.2%，整精米率66.5%，粒长6.7毫米，长宽比3.4，垩白粒率7%，垩白度1.0%，透明度1级，碱消值7.0级，胶稠度70毫米，直链淀粉含量17.6%。,湘审稻2013027,湖南金稻种业有限公司、广东省农业科学院水稻研究所,水稻,2011年省区试平均亩产514.32公斤，比对照天优华占增产1.94%，增产不显著。2012年省区试平均亩产562.96公斤，比对照增产4.39%，增产极显著。两年区试平均亩产538.64公斤，比对照增产3.17%，日产量4.55公斤，比对照高0.25公斤。,,,,
19,C两优0861,C两优0861,C815S×R0861（蜀恢498/华占）杂交选配的杂交一季稻组合,全生育期125.9天，比对照Y两优1号早熟3.4天。该品种株型适中，剑叶宽长，长势繁茂，分蘖力强，有效穗多，稃尖紫色，穗粒数较多，结实率高，熟期转色好。株高113.2厘米，亩有效穗19.6万，穗长23.1厘米，每穗总粒数161.9粒，实粒数137.9粒，结实率85.2%，千粒重25.3克。出糙率81.1％，精米率72.3％，整精米率66.1％，粒长6.9mm，粒型长宽比3.3，垩白粒率20％，垩白度8.3％，直链淀粉13.2％，胶稠度83mm。稻瘟病抗性自然诱发鉴定：穗颈瘟为9级，高感稻瘟病；稻瘟病抗性综合指数3.9。,赣审稻2016004,江西先农种业有限公司,,2014-2015年参加江西省水稻区试，2014年平均亩产638.93公斤，比对照Y两优1号增产9.15%，极显著；2015年平均亩产629.86公斤，比对照Y两优1号增产5.87%，不显著。两年平均亩产634.40公斤，比对照Y两优1号增产7.51%。,5月18日左右播种，大田用种量每亩1.0公斤。秧龄25-30天。栽插规格6寸×8寸，每穴插2粒谷苗。亩施纯氮11-13公斤，氮、磷、钾肥施用比例为1.0:0.5:0.7，施足基肥，早施追肥，巧施穗肥，补施粒肥。寸水活棵，浅水分蘖，够苗晒田，有水孕穗，湿润壮籽，成熟前5-6天断水。根据当地农业部门病虫预报，及时防治稻瘟病、纹枯病、稻纵卷叶螟、二化螟、稻飞虱等病虫害。,,,
20,Y两优900,Y两优900,Y58S×R900,籼型两系杂交水稻品种。在长江中下游作一季中稻种植，全生育期140.7天，比对照丰两优四号长2.7天。株高119.7厘米，穗长27.7厘米，每亩有效穗数14.9万穗，每穗总粒数238.2粒，结实率78.3%，千粒重24.4克。抗性：稻瘟病综合指数5.1，穗瘟损失率最高级9级；白叶枯病5级；褐飞虱9级；抽穗期耐热性中等；高感稻瘟病，中感白叶枯病，高感褐飞虱。米质主要指标：整精米率68.1%，长宽比3.0，垩白粒率12%，垩白度1.4%，胶稠度68毫米，直链淀粉含量14.7%。,国审稻2015034,,,2013年参加长江中下游中籼迟熟组区域试验，平均亩产626.7千克，比对照丰两优四号增产5.9%；2014年续试，平均亩产623.6千克，比丰两优四号增产6.0%；两年区域试验平均亩产625.2千克，比丰两优四号增产5.9%。2014年生产试验，平均亩产618.8千克，比丰两优四号增产5.4%。,1.4月中下旬播种，亩大田用种量0.75～1千克。2.秧龄控制在30天以内，栽插株行距16.7×30厘米，亩栽插1.3万穴左右，每穴插2粒谷苗、基本苗4.5～5万。3.施足基肥、早施分蘖肥、幼穗分化3期重施穗肥；亩施纯氮15～18千克，氮、磷、钾比例1:0.5:1，基蘖肥、穗肥比例6:4为宜。4.深水返青，浅水分蘖，亩苗数达14万左右及时排水晒田，孕穗抽穗期保持浅水层，灌浆结实期干湿交替，后期切忌断水过早。5.特别注意防治稻瘟病，及时防治稻螟虫、稻纵卷叶螟、稻飞虱、纹枯病、稻曲病等病虫害。,创世纪种业有限公司,创世纪种业有限公司,
