row_index,variety_name,品种名称,品种来源,特征特性,审定编号,选育单位,作物种类,产量表现,栽培技术要点,申请者,育种者,适宜种植区域
5382,甬优4550,甬优4550,甬粳45A×F9250,全生育期两年区试平均137.2天，比对照华优桂99迟熟0.1天。群体整齐，株型适中，后期转色好。每亩有效穗数16.3万，株高108厘米，穗长23.4厘米，每穗总粒数202.8粒，每穗实粒数168.3粒，结实率82.576%，千粒重22.51克。经漳州市两年稻瘟病抗性田间自然诱发鉴定为中感稻瘟病，一年稻瘟病室内人工接菌鉴定评价为抗稻瘟病。米质检测结果：糙米率80.7%，精米率71.4%，整精米率48.5%，粒长5.4毫米，长宽比2.3，垩白粒率17%，垩白度2.8%，透明度2级，碱消值6.2级，胶稠度75毫米，直链淀粉含量13.3%，蛋白质含量10%。,闽审稻2016025,宁波市种子有限公司,,2013年参加漳州市早稻区试，平均亩产506.3公斤，比对照华优桂99增产5.89%，达显著水平；2014年续试，平均亩产574.6公斤，比对照华优桂99增产23.62%，达极显著水平。2015年参加漳州市早稻生产试验，平均亩产546.2公斤，比对照华优桂99增产9.4%。,在漳州市作早稻种植，秧龄为25～30天。插植密度20厘米×25厘米，丛插2粒谷。亩施纯氮13～15公斤，氮、磷、钾比例为1:0.6:1，基肥、分蘖肥、穗肥比例氮肥为4：5：1、钾肥为2：4：4、磷肥主要作基肥施用。水管采取深水返青，浅水分蘖，够苗及时晒田，孕穗抽穗期保持浅水层，灌浆结实期干湿交替，后期切忌断水过早。注意及时防治病虫害，尤其需抓好分蘖前期的稻飞虱和破口前5～7天及破口期的稻曲病防治工作。,,,
5383,德香优146,德香优146,德香074A×绵恢146,籼型三系杂交水稻品种。在长江上游作一季中稻种植，全生育期158.4天，比对照Ⅱ优838长3.1天。株高119.0厘米，穗长26.0厘米，每亩有效穗数14.3万穗，每穗总粒数191.1粒，结实率78.8%，千粒重31.3克。抗性：稻瘟病综合指数两年分别为3.5、4.2，穗瘟损失率最高级5级；褐飞虱7级；中感稻瘟病，感褐飞虱。米质主要指标：整精米率61.9%，长宽比2.7，垩白粒率28%，垩白度4.1%，胶稠度79毫米，直链淀粉含量16.0%。,国审稻2016020,,,2013年参加长江上游中籼迟熟组区域试验，平均亩产621.5千克，比对照Ⅱ优838增产6.4%；2014年续试，平均亩产627.4千克，比Ⅱ优838增产8.5%；两年区域试验平均亩产624.5千克，比Ⅱ优838增产7.4%。2015年生产试验，平均亩产620.5千克，比Ⅱ优838增产7.2%。,1.适时早播，每亩大田用种量1千克，播种前做好种子消毒，培育多蘖壮秧，使移栽时带3个以上分蘖。2.合理密植。秧龄控制在40天为宜，亩栽1.2万穴以上，每穴插2-3粒谷苗。3. 科学施肥，重底早追，看苗补施穗粒肥。一般亩施纯氮10千克左右，注意氮、磷、钾配合施用。4.前期浅水灌溉，够苗后及时晒田，孕穗抽穗期保持浅水层，灌浆结实期采用干湿交替灌溉，切忌断水过早。5.注意及时防治稻瘟病、纹枯病、螟虫、稻飞虱等病虫害。,,,
5384,内6优1116,内6优1116,内香6A×R1116,籼型三系杂交水稻品种。在长江上游作一季中稻种植，全生育期153.5天，比对照F优498长3.8天。株高117.8厘米，穗长26.4厘米，每亩有效穗数14.7万穗，每穗总粒数168.3粒，结实率86.8%，千粒重31.2克。抗性：稻瘟病综合指数两年分别为3.6、3.6，穗瘟损失率最高级5级；褐飞虱7级；中感稻瘟病，感褐飞虱。米质主要指标：整精米率52.3%，长宽比3.1，垩白粒率24%，垩白度4.1%，胶稠度78毫米，直链淀粉含量15.9%，达到国家《优质稻谷》标准3级。,国审稻20176019,,,2014年参加长江上游中籼迟熟组绿色通道区域试验，平均亩产659.0千克，比对照F优498增产2.3%；2015年续试，平均亩产655.5千克，比F优498增产2.9%；两年区域试验平均亩产657.2千克，比F优498增产2.6%。2016年生产试验，平均亩产673.4千克，比F优498增产3.2%。,"1.该组合属于中籼迟熟组合，适时播种:适合于3月上旬至4月上、中旬播种，秧田亩播种量5-7千克。采用稀播湿润或两段育秧,培育壮秧。2.合理栽培:移栽秧龄35-40天，插秧规格,栽插株行距19.8厘米×29.7厘米，也可宽窄行栽插,两粒谷栽插，可按当地栽培习惯栽插,亩栽基本苗8-12万。3.重底早追:施用底肥,在有条件地方施用有机肥500-1000千克,亩施复合肥25-30千克做底肥。移栽后5-7天后施追肥，亩施追肥5-7.5千克,以尿素为主。后期看苗施肥,穗粒肥依苗情适施或不施。4.合理灌溉:浅水插秧，插秧浅插,寸水发根促蘖。当亩最高苗数达到25万时，排水晒田，控苗。孕穗至齐穗期田间有浅水层，齐穗后间歇灌溉，湿润管理。5.病虫防治:重点防治螟虫、纹枯病,在特别生态区还要注意稻飞虱、稻瘟病、稻曲病等病虫害。",,,
5385,吉大319,吉大319,吉粳88/通丰9号,粳型常规水稻品种。在东北、西北中晚熟稻区种植，全生育期151.4天，比对照吉玉粳晚熟5.3天。株高107.4厘米，穗长17.4厘米，每亩有效穗数28.5万穗，每穗总粒数118.4粒，结实率90%，千粒重23.5克。抗性：稻瘟病综合指数两年分别为1.7、0.4，穗颈瘟损失率最高级5级，中感稻瘟病。米质主要指标：整精米率70.2%，垩白粒率8.7%，垩白度1.6%，直链淀粉含量15.1%，胶稠度70毫米，达到国家《优质稻谷》标准2级。,国审稻20180072,,,2015年参加早粳晚熟组区域试验，平均亩产630.89千克，比对照吉玉粳减产1.62%；2016年续试，平均亩产682.06千克，比对照吉玉粳增产5.51%；两年区域试验平均亩产654.97千克，比对照吉玉粳增产1.75%；2017年生产试验，平均亩产613.08千克，比对照吉玉粳增产7.72%。,"1.稀播旱育或钵盘早育壮秧：4月中旬播种育秧。2.稀栽浅插：秧龄3.5～4叶,行株距30×20厘米，每穴2～3苗，插秧宜浅不宜深。3.平稳促进、稳健生长：亩施纯氮10～11.5千克，按底：蘖：补：穗肥4：3：2：1比例4次施肥。纯磷60～80千克，全部施底肥。纯钾90～120千克，分两次施肥，底肥︰追肥比例7：3。4.水分管理：浅水促蘖，深水护苗，湿润壮秧。5.及时防治病、虫、草害：利用人工及药剂等措施及时防治病、虫、草害。",,,
5386,圣糯1号,圣糯1号,常规品种，系徐稻3号与广陵香糯杂交后选育。,属中晚熟粳糯稻品种。株型紧凑，叶色浓绿， 剑叶上冲，穗半直立、无芒，谷粒椭圆形。区域试验结果： 全生育期159天，生育期比对照临稻10号晚熟1天；平均亩 有效穗25.7万，成穗率79.3%，株高96.4厘米，穗长16.0厘米，穗实粒数106.6粒，结实率89.2%，千粒重27.8克。2015、 2016年经农业部稻米及制品质量监督检验测试中心（杭州） 测试：稻谷出糙率84.0%，整精米率73.3%，长宽比1.7，胶 稠度100mm，直链淀粉含量1.7%。2016年经天津市植物保 护研究所抗病性接种鉴定：感稻瘟病。 产量表现：在2015～2016年全省水稻品种中晚熟组区 域试验中，两年平均亩产708.6公斤，比对照临稻10号增产 8.1%；2017年生产试验平均亩产661.6公斤，比对照临稻10 号增产7.2%。,鲁审稻20180004,,,在2015～2016年全省水稻品种中晚熟组区 域试验中，两年平均亩产708.6公斤，比对照临稻10号增产 8.1%；2017年生产试验平均亩产661.6公斤，比对照临稻10 号增产7.2%。,一般5月上中旬育秧，6月中旬插秧，适 宜密度每亩18000～20000穴。注意防治蓟马、螟虫、稻纵 卷叶螟、稻飞虱等虫害。其他管理措施同一般大田。,,山东省水稻研究所、山东省农业科学院生物技 术研究中心,
5387,绥稻36,绥稻36,以绥粳4号为母本，绥粳3号为父本，系谱方法选育而成。,香稻品种。在适应区出苗至成熟生育日数134天左右，需≥10℃活动积温2500℃左右。该品种主茎12片叶，长粒型，株高100.5厘米左右，穗长19.3厘米左右，每穗粒数111粒左右，千粒重26.3克左右。两年品质分析结果：出糙率79.7%～81.7%，整精米率64.2%～65.8%，垩白粒米率6%～10%，垩白度1.4%～2.9%，直链淀粉含量（干基）15.85%～18.96%，胶稠度75毫米～77毫米，粗蛋白（干基）6.99%～7.99%，食味品质80分，达到国家《优质稻谷》标准二级。三年抗病接种鉴定结果：叶瘟1～3级，穗颈瘟1～5级。三年耐冷性鉴定结果：处理空壳率19.7%～27.3%。,黑审稻20220051,,,2019～2020年区域试验平均公顷产量8328.3公斤，较对照品种绥粳18增产7.9%；2021年生产试验平均公顷产量8988.1公斤，较对照品种绥粳18增产8.4%。,在适应区播种期4月12日～4月19日，插秧期5月15日～5月22日，秧龄30～35天，插秧规格为30厘米×13.3厘米，每穴4～6株。一般公顷施纯氮100公斤，氮∶磷∶钾=2∶1∶1。磷肥全部做基肥，钾肥分基肥、穗肥两次施入，每次各施25、25公斤。氮肥施用方法：基肥∶蘖肥∶穗肥∶粒肥=4∶3∶2∶1，基肥量：纯氮40公斤，纯磷50公斤，纯钾25公斤；蘖肥量：纯氮30公斤；穗肥量：纯氮20公斤，纯钾25公斤；粒肥量：纯氮10公斤。灌溉方法：浅湿干交替灌溉。收获期9月15日～9月25日。,绥化市盛昌种子繁育有限责任公司,绥化市盛昌种子繁育有限责任公司,
5388,深优866,深优866,深97A×赣农866,全生育期两年区试平均131.5天，比对照Ⅱ优明86早熟0.7天。群体整齐，株型适中，穗大粒多，后期转色好。株高127.78厘米，穗长25.29厘米，每亩有效穗14.26万，每穗总粒数185.29粒，结实率82.94%，千粒重31.21克。经南平市两年稻瘟病抗性田间自然诱发鉴定为感稻瘟病。米质检测结果：糙米率81.3％，精米率72.4％、整精米率41.7％、粒长7.2毫米，长宽比2.9，垩白粒率51％，垩白度10.0％，透明度1级，碱消值4.8级，胶稠度76毫米，直链淀粉含量22.2％，蛋白质含量8.7％。,闽审稻2012H03（南平）,江西中种赣农种业有限公司,,2008年参加南平市中稻区试，平均亩产599.45公斤，比对照Ⅱ优明86增产7.56%，达极显著水平；2009年续试，平均亩产558.66公斤，比对照Ⅱ优明86增产5.0%，达极显著水平。2010年参加南平市中稻生产试验，平均亩产563.1公斤，比对照Ⅱ优明86增产9.8%。2011年参加南平市中稻生产试验，平均亩产608.1公斤，比对照Ⅱ优明86增产5.6%。,在南平市作中稻种植，秧龄控制在30天以内。插植密度19.8厘米×26.4厘米，丛插1～2粒谷。亩施纯氮12公斤，氮、磷、钾比例为1.0：0.7：1.0，基肥、分蘖肥、穗肥比例为5：4：1。水管采取浅水栽秧，薄水分蘖，够苗晒田，后期干湿壮籽。及时防治病虫害。,,,
5389,广优明118,广优明118,广抗13A（珍汕97A×（福伊B×K17B）后代）×明恢118（来源于96gk920×圭630）,2010年、2011年两年区域试验结果：平均株高128厘米、亩有效穗16万、每穗总粒数191粒、结实率80%、千粒重27克。全生育期142天左右，比对照品种（Ⅱ优838）迟熟3天。,皖稻2013016,,,在一般栽培条件下，2010年区域试验亩产600.78公斤，较对照品种增产4.85%（显著）；2011年区域试验亩产605.33公斤，较对照品种增产5.20%（极显著）。,,,,
5390,徽两优348,徽两优348,Y18S×R07W02,中籼两系杂交稻品种。2013年、2014年两年区域试验结果：平均株高122.3厘米、穗长24.1厘米、亩有效穗14.4万、每穗总粒数207.6粒、结实率78.6%、千粒重28.85克。全生育期为137.6天，比对照品种（Ⅱ优838）早熟1.5天。抗性：经安徽省农业科学院植保所抗性鉴定，2013年中抗稻瘟病（综合抗指5.00），抗稻曲病（病指2.4），中抗纹枯病（病指33），中抗白叶枯病（病指33）；2014年中抗稻瘟病（综合抗指4.50），中抗稻曲病（病指5.0），中抗纹枯病（病指38），中抗白叶枯病（病指42）。品质分析：经农业部稻米及制品质量监督检验测试中心检验，2013年米质达部标5级，2014年米质达部标3级。,皖审稻2017023,,,2013年区域试验平均亩产613.38千克，较对照品种增产6.03%（显著）；2014年区域试验平均亩产619.67千克，较对照品种增产7.63%（极显著）。2016年生产试验亩产635.08千克，较对照品种增产8.11%。,1．播期：4月底至5月初，秧田亩播种量15千克，秧龄30天。2．栽插密度：行株距20×23或17×27厘米，每穴2粒种子苗，亩基本苗6－8万。3．施肥：需肥水平中等偏上，施足基肥和面肥，早施分蘖肥，增施穗粒肥。4．灌水：浅水栽秧，适水活棵，干湿交替促分蘖；及时考田，后期切忌断水过早。5．病虫害防治：播种前用强氯精浸种，以防恶苗病。生育全程加强病虫测报，及时防治稻蓟马、螟虫及稻飞虱、稻曲病。,安徽省农业科学院水稻研究所,安徽省农业科学院水稻研究所、蚌埠海上明珠农业科技发展有限公司,
5391,徽两优106,徽两优106,1892S×萍恢106,籼型两系杂交水稻品种。在长江中下游作一季中稻种植，全生育期130.6天，比对照丰两优四号短1.2天。株高119.8厘米，穗长24.4厘米，每亩有效穗数17.8万穗，每穗总粒数199.3粒，结实率84.9%，千粒重23.9克。抗性：稻瘟病综合指数两年分别为3.8、3.0，穗颈瘟损失率最高级5级，白叶枯病5级，褐飞虱9级，抽穗期耐热性3级；中感稻瘟病，中感白叶枯病，高感褐飞虱，抽穗期耐热性较强。米质主要指标：整精米率68.7%，垩白粒率28%，垩白度9.3%，直链淀粉含量13.2%，胶稠度80毫米，长宽比3.3。,国审稻20190088,,,2017年参加长江中下游中籼迟熟组水稻联合体区域试验，平均亩产643.0千克，比对照丰两优四号增产6.8%；2018年续试，平均亩产670.6千克，比对照丰两优四号增产9.3%；两年区域试验平均亩产656.8千克，比对照丰两优四号增产8.05%；2018年生产试验，平均亩产650.31千克，比对照丰两优四号增产6.8%。,1.育秧。适时播种，秧田播种量每亩8～10千克，大田用种量每亩1.0千克，播种前用药剂浸种，稀播、匀播，培育多蘖壮秧。2.移栽。控制秧龄不超过30天，建议栽插株行距20厘米×26.7厘米，每穴栽插2～3粒谷苗。3.肥水管理。重施底肥，早施追肥，后期看苗补肥，亩施纯氮10～13千克，氮、磷、钾的施用比例为1.0:0.5:0.9。移栽返青后干湿相间促分蘖，够苗晒田，有水孕穗，浅水抽穗，湿润灌浆，后期干干湿湿，保持根系活力，不要断水过早。4.病虫防治。病虫防治要“以防为主、防治结合”，及时防治稻瘟病、白叶枯病、纹枯病、褐飞虱、稻蓟马、螟虫、稻曲病等病虫害。,江西农嘉种业有限公司,江西农嘉种业有限公司、萍乡市农业科学研究所、安徽省农业科学院水稻研究所,
5392,望两优029,望两优029,望S×望恢029,籼型两系杂交水稻品种。在长江中下游作一季中稻种植，全生育期138.3天，比对照丰两优四号长3.8天。株高118.5厘米，穗长26.6厘米，每亩有效穗数16.6万穗，每穗总粒数214.6粒，结实率82.2%，千粒重23.5克。抗性：稻瘟病综合指数两年分别为4.9、4.8，穗颈瘟损失率最高级7级，白叶枯病5级，褐飞虱9级，抽穗期耐热性3级；感稻瘟病，中感白叶枯病，高感褐飞虱，抽穗期耐热性较强。米质主要指标：整精米率62.6%，垩白粒率6%，垩白度1.1%，直链淀粉含量15.1%，胶稠度74毫米，长宽比3.3，达到农业行业《食用稻品种品质》标准二级。,国审稻20196098,,,2017年参加长江中下游中籼迟熟组区域试验，平均亩产640.04千克，比对照丰两优四号增产5.12%；2018年续试，平均亩产650.50千克，比对照丰两优四号增产4.10%；两年区域试验平均亩产645.27千克，比对照丰两优四号增产4.60%；2018年生产试验，平均亩产680.55千克，比对照丰两优四号增产5.31%。,长江中下游作一季中稻，1.适时播种，秧田亩播种量5千克，培育壮秧。2.秧龄控制在30天以内，栽插株行距16.7厘米×30厘米，双本栽插，亩基本苗6万左右。3.施足基肥，移栽返青后早施分蘖肥，幼穗分化3期追施穗肥。4.深水返青，浅水分蘖，亩总苗数达到15万时，排水重晒田，孕穗至齐穗期田间保持浅水层，齐穗后间歇灌溉，湿润管理。5.重点防治稻瘟病、螟虫、稻飞虱、纹枯病、稻曲病等病虫害。,湖南希望种业科技股份有限公司,湖南希望种业科技股份有限公司、安徽新安种业有限公司,
5393,忠香优丽晶,忠香优丽晶,成都天府农作物研究所利用重庆忠县皇华农作物研究所选育的不育系忠香A与四川奥力星农业科技有限公司选育的恢复系奥丽晶配组育成的中籼迟熟三系杂交水稻优质新品种。,该品种基部叶鞘绿色，倒二叶叶片、叶耳花青甙无显色，茎秆节花青甙无显色，茎秆基部节间包裹，柱头白色。两年区试平均全生育期148.4天，比对照宜香优2115早熟3.0天，株高116.4厘米，亩有效穗14.3万，穗长25.0厘米，每穗着粒196.9粒，结实率87.3%，千粒重26.1克。谷粒细长形，无芒，糙米浅棕色。品质测定：糙米率82.3%，精米率71.4%，整精米率64.0%，粒长6.7毫米，长宽比3.2，垩白粒率14%，垩白度2.3%，透明度1级，碱消值7.0级，胶稠度72毫米，直链淀粉15.5%，米质达到农业行业《食用稻品种品质》标准2级。稻瘟病抗性鉴定：2018年叶瘟4、5、5、4级，颈瘟5、5、5、5级；2019年叶瘟3、3、4、4级，颈瘟5、5、5、5级；中感稻瘟病。,川审稻20212004,,,2018年参加四川奥力星水稻试验联合体中籼迟熟组区域试验，平均亩产607.17公斤，比对照宜香优2115增产10.69%，增产点率100%；2019年续试，平均亩产607.50公斤，比对照增产6.66%，增产点率100%；两年区试平均亩产607.34公斤，比对照增产8.68%，两年共18个试点，增产点率100%。2019年同步生产试验，平均亩产582.78公斤，比对照增产5.19%。,①适时播种，培育壮秧；②合理密植；③肥水管理：科学配方施肥，重底早追，氮、磷、钾配合施用，科学管水；④病虫防治：根据植保预测预报，综合防治病虫害。,,,
5394,仁优 6 号,仁优 6 号,宽仁 A×R6155,籼型三系杂交水稻品种。在长江中下游作双季晚稻种植， 全生育期 117.5 天， 比对照五优 308 早熟 3.1 天。株高 100.8 厘米， 穗长 23.6 厘米， 每亩有效穗数 22.2 万穗， 每穗总粒数 145.6 粒， 结实率 82.6%， 千粒重 23.9 克。抗性： 稻瘟病综合指数两年 分别为 3.8、4.6， 穗颈瘟损失率最高级 5 级， 白叶枯病 7 级， 褐飞虱 9 级， 高感褐飞虱， 感白叶枯病，中感稻瘟病，耐冷性较强。米质主要指标： 整精米率 60.7%，垩白度 1.7%，直 链淀粉含量 16.6%， 胶稠度 70.0 毫米，碱消值 7 级，长宽比 3.2，达到农业行业《食用稻品 种品质》标准二级。,国审稻 20210343,,,2019 年参加长江中下游晚籼早熟组联合体区域试验，平均亩产 583.92 千克， 比对照五优 308 增产 4.94%； 2020 年续试，平均亩产 562.85 千克，比对照五优 308 增产 6.61%； 两年区域试验平均亩产 573.38 千克， 比对照五优 308 增产 5.77%； 2020 年生产试验， 平均 亩产 570.36 千克，比对照五优 308 增产 6.02%。,1.适时播种， 培育壮秧， 大田亩用种量 1.0 千克； 播种前强氯精浸种。 2.秧龄 28 天左右或秧苗 5－6 叶移栽，栽插株行距 19.8 厘米×26.4 厘米，每穴栽插 2 粒谷 苗。3.肥水管理，施足基肥，一般亩施 45%复合肥 40 千克，插秧后 5－7 天结合除草剂亩追 施尿素 10 千克， 幼穗分化 3－4 期亩追施复合肥 5－7.5 千克、齐穗后看苗补施粒肥。 4.前 期浅水促分蘖，够苗及时落水晒田，有水孕穗，湿润灌浆，后期不要断水过早。5.及时防治 稻瘟病、螟虫、稻飞虱等病虫害，尤其注意防治稻瘟病。,,,
5395,天优9802,天优9802,天丰A/粤恢9802,感温型三系杂交稻组合。早造平均全生育期128～129天，与对照种粤香占相当。株型中散，分蘖力中强，抗倒力中弱，耐寒性强。科高99.8～102.0厘米，亩有效穗18.1～19.1万，穗长21.2～21.6厘米，每穗总粒数126～142粒，结实率79.0%～83.9%，千粒重25.4～26.5克。米质未达优质等级，整精米率48.4%～55.3%，垩白粒率40%～67%，垩白度15.6%～24.5%，直链淀粉20.4%～21.5%，胶稠度65～77毫米，长宽比3.1，食味品质分70～72。中抗稻瘟病，全群抗性频率97.3%～97.62%，对中B群、中C群的抗性频率分别为93.75%～100%和95%～100%，病圃鉴定叶瘟1.2～3.0级（单点最高5.0级）、穗瘟2.2～4.5级（单点最高7.0级）；感白叶枯病（IV型菌7级、 V型菌9级）。,粤审稻2012016,广东省农业科学院植物研究所、广东省农业科学院水稻研究所,,2010、2011年早造参加省区试，平均亩产分别为419.72公斤和529.04公斤，比对照种粤香占分别增产7.73%和15.64%，增产分别达显著和极显著水平。2011年早造参加省生产试验，平均亩产503.80公斤，比对照种粤香占增产15.09%。日产量3.25～4.13公斤。,注意防治稻瘟病和白叶枯病。,,,
5396,冈优52,冈优52,冈46A×OM052（来源于安徽省农业科学院水稻研究所）,2010年、2011年两年区域试验结果：平均株高132厘米、亩有效穗14万、每穗总粒数212粒、结实率82%、千粒重29克。全生育期138天左右，与对照品种（Ⅱ优838）相当。,皖稻2013012,,,在一般栽培条件下，2010年区域试验亩产611.31公斤，较对照品种增产8.61%（极显著）；2011年区域试验亩产617.23公斤，较对照品种增产8.74%（极显著）。,,,,
5397,广两优939,广两优939,广占63-4S×绿恢939（R9311/R456）杂交选配的杂交一季稻组合,全生育期130.9天，比对照Y两优1号迟熟3.3天。该品种株型适中，剑叶长直，长势繁茂，分蘖力中，稃尖无色，穗粒数较多，结实率高，千粒重大，熟期转色好。株高127.8厘米，亩有效穗15.7万，穗长25.4厘米，每穗总粒数154.4粒，实粒数132.1粒，结实率85.6%，千粒重29.8克。出糙率81.5％，精米率72.7％，整精米率65.7％，粒长6.9mm，粒型长宽比3.2，垩白粒率27％，垩白度3.9％，直链淀粉含量15.4％，胶稠度85mm。米质达国标3级。稻瘟病抗性自然诱发鉴定：穗颈瘟为9级，高感稻瘟病；稻瘟病抗性综合指数4.0。,赣审稻2016010,江西汇丰源种业有限公司,,2013-2014年参加江西省水稻区试，2013年平均亩产563.95公斤，比对照Y两优1号增产1.66%，不显著；2014年平均亩产589.17公斤，比对照Y两优1号增产1.63%，不显著。两年平均亩产576.56公斤，比对照Y两优1号增产1.65%。,5月15日左右播种。秧龄30天以内，栽插规格5寸×6寸，每穴插2粒谷苗。亩施水稻专用复合肥50公斤作基肥，移栽后7天亩追施尿素7.5公斤，氯化钾7.5公斤，孕穗期看苗适施尿素和钾肥，抽穗50%时亩喷施谷粒饱50克，爱苗3小包，促进齐穗壮籽。苗期浅水勤灌促进分蘖，够苗晒田，抽穗期深水灌溉，干干湿湿壮籽，后期不要断水过早。根据当地农业部门病虫预报，及时防治稻瘟病、二化螟、三化螟、稻纵卷叶螟、稻飞虱等虫害。,,,
5398,两优336,两优336,C815S×R336,,湘审稻2015041,湖南金健种业科技有限公司、湖南农业大学,,平均亩产 590.4Kg，比对照丰两优四号平均增产 8.13%。,适时播种，4月底5月初播种；秧龄2控制在30天。,,,
5399,春优115,春优115,春江16A×CH115,,苏审稻20170016,,,2014-2015年参加江苏省区试，两年平均亩产807.2公斤，比对照甬优8号增产12%；2016年生产试验平均亩产750.2公斤，比对照甬优8号增产6.2%。,1、适期播种，培育壮秧。作单晚栽培可在5月中下旬播种，一般亩播6-8公斤左右，本田用种量0.6-0.8公斤。2、适时移栽，合理密植。秧龄控制在25天左右，单晚行株距可采用6×8寸，每穴1-2苗。3、科学肥水管理。一般亩施纯氮18公斤左右，施肥方法上宜施足基肥，早施追肥，采用“前重、中轻、后补”的策略，基肥以有机肥为主，适当配施磷钾肥，早施促早发，适施穗肥保大穗，NPK比例掌握在1：0.5：1。水浆管理上，采取浅水插秧，寸水活棵，浅水勤灌促分蘖，后期采用干湿交替的灌溉方式，断水不宜过早。4、病虫草害防治。播种前用药剂浸种，防治恶苗病和干尖虫病等种传病虫害，秧田期集中防治稻薊马、灰飞虱，中、后期综合防治纹枯病、螟虫、稻飞虱、稻纵卷叶螟、稻瘟病、稻曲病等。特别要注意稻曲病的防治。,,,
5400,津粳优2018,津粳优2018,津20A×津恢18号,粳型杂交水稻品种。黄淮粳稻区种植全生育期平均153.5天，比对照徐稻3号早熟1.5天。株高127.4厘米，穗长20.9厘米，每亩有效穗数17.7万，每穗总粒数199.9粒，结实率84.2%，千粒重26.4克。抗性：稻瘟病综合指数两年分别为4.9和4.0，穗颈瘟损失率最高级5级，条纹叶枯病最高级5级，中感稻瘟和条纹叶枯病。主要米质指标：整精米率65.5%，垩白粒率26%，垩白度5.8%，直链淀粉含量14%，胶稠度83 mm。,国审稻20170073,,,2015年参加国家黄淮粳稻组区域试验，平均亩产725.39千克，比对照徐稻3号增产13.6%；2016年续试，平均亩产673.15千克，较徐稻3号增产8.42%；两年区域试验平均亩产699.27千克，较徐稻3号增产11.5%。2016年生产试验平均亩产702.17千克，较徐稻3号增产9.22%。,1.育秧：播前药剂浸种，防治干尖线虫病和恶苗病，控制播种量，培育带蘖壮秧。2.移栽：手插秧龄35天左右，株行距26.6厘米×13.3厘米，每穴栽3～4株。3.肥水管理：氮、磷、钾、锌肥配合使用，施肥宜早，早促早发，搭好丰产架，确保有效穗20万左右。4.水浆管理：薄水栽秧、寸水活棵、浅水分蘖、够蘖烤田、深水抽穗扬花、后期干湿交替，忌断水过早。5.病虫草害防治：注意对稻瘟病、纹枯病、稻曲病、稻飞虱和螟虫防治特别注意防治稻瘟病。,,,
