row_index,variety,approval_no,approval_year,level,province,is_hybrid,three_line,two_line,subspecies,season_hint,region_group,yield_2yr_kg_mu,yield_gain_pct,ck,yield_prod_kg_mu,gain_prod_pct,duration_d,duration_diff_d,plant_height_cm,panicles_10k_mu,panicle_len_cm,grains_per_panicle,seed_setting_pct,tgw_g,blast_index_mean,blast_index_max,neck_blast_loss_max_grade,blast_text,blb_grade,blb_text,bph_grade,heat_text,cold_text,head_rice_pct,chalkiness_deg_pct,chalky_grain_pct,amylose_pct,gel_mm,lw_ratio,alkali,quality_grade,quality_std,is_winall,applicant,source_text_len,region,season,breeding_system,applicant_type,n_applicants,quality_top2,neck_blast_ok,blast_susceptible_text,flag_yield_outlier,flag_duration_outlier
1760,T优5537,国审稻2003035,2003.0,国审,,True,True,False,籼,早稻,华南早籼高产组,,,汕优63,481.3,2.48,127.2,,110.5,17.6,23.5,130.2,80.5,29.4,,,,,9.0,,,,,46.7,25.5,,20.5,41.0,2.5,,,,False,福建农林大学作物科学学院，福建省种子总站,400,South China,Early,Three-line hybrid,Public,2,,,False,False,False
1263,D奇宝优1号,国审稻2003036,2003.0,国审,,True,True,False,籼,早稻,华南早籼高产组,,,汕优63,493.0,6.18,126.0,,115.9,19.5,22.6,132.5,80.0,28.2,,,,,9.0,,,,,49.1,29.8,,20.3,40.0,2.6,,,,False,福建省尤溪县良种生化研究所，福建省种子总站,399,South China,Early,Three-line hybrid,Public,2,,,False,False,False
84,丰华占,国审稻2003037,2003.0,国审,,False,False,False,籼,早稻,华南早籼优质组,,,粤香占,456.6,2.91,123.2,,97.9,22.7,21.8,135.2,82.6,22.0,,,,,3.0,,,,,55.4,3.2,,13.8,73.5,3.2,,,,False,广东省农科院水稻研究所,410,South China,Early,Inbred/Other,Public,1,,,False,False,False
1393,博优253,国审稻2003038,2003.0,国审,,True,True,False,籼,晚籼,华南晚籼组,,,博优903、粳籼89,492.5,2.07,118.5,,118.8,17.4,23.9,140.9,84.0,23.8,,,,,7.0,,9.0,,,66.4,5.9,,19.3,43.0,2.6,,,,False,广西大学支农开发中心,389,South China,Late,Three-line hybrid,Public,1,,,False,False,False
989,博优1025,国审稻2003039,2003.0,国审,,True,True,False,籼,双季,华南晚籼组,,,博优903,478.6,0.82,115.9,,101.6,20.1,21.3,138.3,85.6,21.6,,,,,9.0,,9.0,,,66.2,6.4,,20.0,43.0,2.8,,,,False,广西农科院水稻研究所,405,South China,Late,Three-line hybrid,Public,1,,,False,False,False
1264,博优998,国审稻2003040,2003.0,国审,,True,True,False,籼,双季,华南晚籼组,,,博优903,502.2,4.07,114.9,,104.9,19.8,22.7,137.1,86.7,21.2,,,,,7.0,,9.0,,,65.3,3.8,,20.2,48.0,2.8,,,,False,广东省农科院水稻研究所,373,South China,Late,Three-line hybrid,Public,1,,,False,False,False
826,嘉早312,国审稻2003041,2003.0,国审,,False,False,False,籼,早稻,长江中下游早籼早中熟组,,,舟903、浙733,376.9,1.55,110.0,,81.5,21.9,19.7,108.9,78.2,25.9,,,,,3.0,,,,苗期耐寒性强,41.7,7.3,,14.2,83.5,3.2,,,,False,浙江省嘉兴市农科所,467,Middle-Lower Yangtze,Early,Inbred/Other,Public,1,,,False,False,False
958,八两优96,国审稻2003042,2003.0,国审,,True,False,True,籼,早稻,长江中下游早籼早中熟组,,,浙733,378.0,1.85,108.5,,86.5,24.5,18.5,101.5,86.6,24.2,,,,,5.0,,,,,35.3,30.7,,24.8,44.0,2.9,,,,False,湖南省怀化市农科所,409,Middle-Lower Yangtze,Early,Two-line hybrid,Public,1,,,False,False,False
660,中选181,国审稻2003043,2003.0,国审,,False,False,False,籼,早稻,长江中下游早籼早中熟组,,,舟903、浙733,414.3,11.64,111.5,,97.7,21.5,20.7,106.2,77.9,28.9,,,,,5.0,,,,,49.2,43.3,,23.6,46.5,3.0,,,,False,中国水稻研究所,435,Middle-Lower Yangtze,Early,Inbred/Other,Public,1,,,False,False,False
760,中选972,国审稻2003044,2003.0,国审,,False,False,False,籼,早稻,长江中下游南部早籼迟熟组,,,威优402,394.9,5.22,114.3,,94.7,20.0,20.8,116.6,82.2,28.1,,,,,5.0,,,,,42.6,69.5,,23.1,45.0,2.8,,,,False,中国水稻研究所,427,Middle-Lower Yangtze,Early,Inbred/Other,Public,1,,,False,False,False
1182,德农2000（原名：协优7954）,国审稻2003045,2003.0,国审,,True,True,False,籼,中稻,长江流域中籼迟熟组,,,汕优63,549.8,18.19,,,110.0,18.4,22.3,148.0,78.2,30.0,,,,,7.0,,9.0,,,52.0,14.5,,25.3,49.5,2.7,,,,False,浙江省农科院作物与核技术利用研究所,489,Other/Unspecified,Single/Mid,Three-line hybrid,Public,1,,,False,False,False
1582,冈优3551,国审稻2003046,2003.0,国审,,True,True,False,籼,中籼,中籼迟熟组,,,汕优63,501.3,7.75,,,119.0,17.2,24.6,163.7,84.0,27.2,,,,,7.0,,9.0,,,60.5,23.0,,25.3,46.5,2.3,,,,False,四川省宜宾市农业科学研究所,461,Other/Unspecified,Single/Mid,Three-line hybrid,Public,1,,,False,False,False
1429,红优2009,国审稻2003047,2003.0,国审,,True,True,False,籼,中稻,长江流域中籼迟熟组,,,汕优63,493.3,6.03,148.7,,114.5,17.5,25.4,150.7,77.5,30.7,,,,,7.0,,9.0,,,43.8,13.0,,21.7,63.0,2.9,,,,False,西南科技大学水稻研究所,412,Other/Unspecified,Single/Mid,Three-line hybrid,Public,1,,,False,False,False
1524,富优1号（原名：II优21）,国审稻2003048,2003.0,国审,,True,True,False,籼,中稻,长江上游中籼迟熟高产组,,,汕优63,506.4,8.86,158.0,,111.3,17.5,23.5,163.3,82.6,27.4,,,,,5.0,,5.0,,,60.9,9.6,,25.2,49.0,2.2,,,,False,西南农业大学,376,Upper Yangtze,Single/Mid,Three-line hybrid,Public,1,,,False,False,False
1627,B优827（原名：803A/527）,国审稻2003049,2003.0,国审,,True,True,False,籼,中稻,长江上游中籼迟熟优质组,,,汕优63,,10.79,152.5,,113.7,16.7,25.9,165.0,79.9,28.9,,,,,5.0,,3.0,,,53.1,4.1,,22.5,55.0,3.1,,,,False,西南科技大学水稻研究所，四川农业大学水稻研究所,386,Upper Yangtze,Single/Mid,Three-line hybrid,Public,2,,,False,False,False
1169,中优177,国审稻2003050,2003.0,国审,,True,True,False,籼,中稻,长江上游中籼迟熟优质组,,,汕优63,,16.95,151.2,,108.1,17.3,25.3,157.9,81.7,27.3,,,,,7.0,,7.0,,,57.5,2.9,,22.2,50.0,3.1,,,,False,四川省农科院作物所，中国水稻研究所,395,Upper Yangtze,Single/Mid,Three-line hybrid,Public,2,,,False,False,False
225,川香优2号,国审稻2003051,2003.0,国审,,True,True,False,籼,中稻,长江上游稻区中籼迟熟优质组,,,汕优63,466.3,0.81,157.4,,114.4,16.8,24.6,159.0,78.0,29.1,,,,,9.0,,5.0,,,63.5,3.8,,21.6,49.5,2.8,,,,False,四川省农科院作物所，四川华丰种业有限责任公司,576,Upper Yangtze,Single/Mid,Three-line hybrid,Joint,2,,,False,False,False
721,宜香1577（原名：宜香优1577）,国审稻2003052,2003.0,国审,,True,True,False,籼,中稻,长江上游中籼迟熟优质组和长江中下游中籼迟熟优质组,,,汕优63,590.6,6.32,155.1,,114.6,17.5,25.2,160.4,81.7,26.4,,,,,5.0,,9.0,,,58.7,5.5,,22.2,63.0,2.65,,,,False,四川省宜宾市农业科学研究所,524,Upper Yangtze,Single/Mid,Three-line hybrid,Public,1,,,False,False,False
1612,两优932,国审稻2003053,2003.0,国审,,True,False,True,籼,中稻,南方稻区中籼迟熟组,,,汕优63,573.1,8.32,140.2,,118.4,19.3,23.7,159.8,81.5,26.0,,,,,5.0,,5.0,,,52.2,15.6,,22.6,58.0,2.6,,,,False,湖北省农科院作物育种栽培研究所,388,Other/Unspecified,Single/Mid,Two-line hybrid,Public,1,,,False,False,False
1135,II优084,国审稻2003054,2003.0,国审,,True,True,False,籼,中稻,南方稻区中籼迟熟组,,,汕优63,583.1,4.98,142.4,,121.4,17.0,23.3,160.3,86.0,27.8,,,,,7.0,,9.0,,,56.1,5.3,,21.9,49.0,2.6,,,,False,江苏丘陵地区镇江农科所,405,Other/Unspecified,Single/Mid,Three-line hybrid,Public,1,,,False,False,False
1529,K优818,国审稻2003055,2003.0,国审,,True,True,False,籼,中稻,长江中下游中籼迟熟优质组,,,汕优63,614.6,10.65,137.5,,123.8,19.0,24.2,145.1,80.5,30.4,,,,,5.0,,9.0,,,47.2,4.0,,22.5,71.5,2.9,,,,False,江苏里下河地区农业科学研究所,379,Middle-Lower Yangtze,Single/Mid,Three-line hybrid,Public,1,,,False,False,False
