variety,approval_no,year,type,region_group,region,yield_kg_per_mu,yield_gain_pct,ck,prod_trial,duration_d,quality_grade,blast_index,blast_text,neck_blast_max,blb,bph,heat_cold,applicant,row_index
荃两优532,国审稻20216086,2021,两系籼,长江中下游中籼迟熟组,长江中下游,654.49,6.60,丰两优四号,619.30 (增产7.90%),132.4,二级,3.6/3.2,中抗稻瘟病,3,7,9,抽穗期耐热性强,,3136
荃优洁丰丝苗,国审稻20216087,2021,三系籼,长江中下游中籼迟熟组,长江中下游,627.98,2.43,丰两优四号,589.37 (增产1.96%),128.7,二级,4.3/4.0,中感稻瘟病,5,5,9,抽穗期耐热性较强,,5884
荃广优879,国审稻20216088,2021,三系籼,长江中下游中籼迟熟组,长江中下游,648.74,5.73,丰两优四号,624.64 (增产8.72%),130.2,二级,4.6/4.5,感稻瘟病,7,5,7,抽穗期耐热性较强,,4909
荃两优879,国审稻20216089,2021,两系籼,长江中下游中籼迟熟组,长江中下游,652.60,6.30,丰两优四号,606.42 (增产5.35%),130.0,二级,4.1/3.3,中感稻瘟病,5,7,9,抽穗期耐热性较强,,816
荃广优巴斯香占,国审稻20216090,2021,三系籼,长江中下游中籼迟熟组,长江中下游,620.77,1.18,丰两优四号,601.45 (增产4.72%),130.9,二级,4.1/4.3,中感稻瘟病,5,5,9,抽穗期耐热性较强,,7763
荃广优银泰香占,国审稻20216091,2021,三系籼,长江中下游中籼迟熟组,长江中下游,610.16,-0.50,丰两优四号,585.14 (增产1.42%),129.4,二级,5.4/5.1,感稻瘟病,7,5,9,抽穗期耐热性较强,,5938
荃两优8238,国审稻20216095,2021,两系籼,长江中下游中籼迟熟组,长江中下游,629.14,2.11,丰两优四号,599.99 (增产4.99%),129.6,二级,4.0/4.1,中感稻瘟病,5,3,9,抽穗期耐热性一般,,3622
荃优532,国审稻20216096,2021,三系籼,长江中下游中籼迟熟组,长江中下游,652.91,5.88,丰两优四号,613.47 (增产6.63%),131.8,一级,4.0/4.0,中感稻瘟病,5,7,9,抽穗期耐热性强,,2018
荃两优洁丰丝苗,国审稻20216097,2021,两系籼,长江中下游中籼迟熟组,长江中下游,651.96,5.80,丰两优四号,604.80 (增产5.88%),132.8,一级,4.1/3.6,中感稻瘟病,5,7,9,抽穗期耐热性较强,,4958
荃优596,国审稻20216098,2021,三系籼,长江中下游中籼迟熟组,长江中下游,655.60,6.36,丰两优四号,613.24 (增产6.19%),129.9,二级,4.7/4.9,中感稻瘟病,5,9,9,抽穗期耐热性较强,,3274
荃优洁田丝苗,国审稻20216099,2021,三系籼,长江中下游中籼迟熟组,长江中下游,635.04,2.44,丰两优四号,599.99 (增产2.19%),129.1,一级,5.4/4.2,感稻瘟病,7,5,9,抽穗期耐热性较强,,4799
荃泰优851,国审稻20216100,2021,三系籼,长江中下游中籼迟熟组,长江中下游,643.38,3.58,丰两优四号,611.78 (增产4.21%),126.6,二级,4.9/4.3,中感稻瘟病,5,5,9,抽穗期耐热性较强,,4407
荃两优087,国审稻20216101,2021,两系籼,长江中下游中籼迟熟组,长江中下游,656.07,5.71,丰两优四号,624.19 (增产6.60%),130.8,一级,3.9/3.8,中感稻瘟病,5,5,9,抽穗期耐热性较强,,51
荃两优洁田丝苗,国审稻20216102,2021,两系籼,长江中下游中籼迟熟组,长江中下游,665.24,4.42,丰两优四号,603.05 (增产3.29%),130.9,三级,6.5/5,高感稻瘟病,9,5,9,抽穗期耐热性强,,5831
荃优绿银占,国审稻20216103,2021,三系籼,长江中下游中籼迟熟组,长江中下游,663.31,3.91,丰两优四号,606.57 (增产2.45%),134.2,二级,4.2/3.9,感稻瘟病,7,5,9,抽穗期耐热性较强,,5894
荃两优粤农丝苗,国审稻20216109,2021,两系籼,长江中下游中籼迟熟组,长江中下游,643.24,1.82,丰两优四号,635.65 (增产3.53%),132.6,三级,4.0/3.8,中感稻瘟病,5,5,9,抽穗期耐热性较强,,159
荃优967,国审稻20216132,2021,三系籼,长江中下游中籼迟熟组,长江中下游,635.42,5.06,丰两优四号,640.40 (增产7.51%),131.3,一级,3.6/3.2,中抗稻瘟病,3,5,9,抽穗期耐热性较强,,4360
荃早优857,国审稻20216175,2021,三系籼,长江中下游晚籼早熟组,长江中下游,610.74,4.7,,577.67 (增产4.68%),118.7,一级,4.3/3.4,中感稻瘟病,5,7,9,耐冷性一般,,4266
荃早优1606,国审稻20216177,2021,三系籼,长江中下游晚籼早熟组,长江中下游,604.07,3.53,,581.59 (增产5.38%),120.2,二级,3.4/3.5,中感稻瘟病,5,7,9,耐冷性较强,,4230
荃香糯3号,国审稻20216219,2021,粳,长江中下游单季晚粳组,长江中下游,671.92,3.99,,652.20 (增产1.28%),141.3,三级,5.5/4.4,中感稻瘟病,5,5,9,,,4248
荃广优836,国审稻20220016,2022,三系籼,长江中下游中籼迟熟组,长江中下游,,,,,129.1,二级,3.9/3.6,中感稻瘟病,5,5,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司品种来源： 荃广 A×YR836,5197
荃广优822,国审稻20220032,2022,三系籼,长江中下游晚籼中迟熟组,长江中下游,582.1,-0.9,,604.6 (增产3.7%),123.4,二级,4.4/4.2,中感稻瘟病,5,5,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,4830
荃优91,国审稻20220075,2022,三系籼,长江上游中籼迟熟组联合体,长江上游,646.3,3.9,,623.3 (增产3.0%),153.3,二级,5.0/4.1,感稻瘟病,7,,9,耐热性3级,四川农业大学 / 四川农业大学、安徽荃银高科种业股份有限公司,6987
荃优美香银占3号,国审稻20220076,2022,三系籼,长江上游中籼迟熟组联合体,长江上游,663.5,4.1,,658.8 (增产3.8%),154.5,三级,4.7/5.6,中感稻瘟病,5,5,9,耐热性3级,安徽赛诺种业有限公司、合肥信达高科农业科学研究所 / 深圳市金谷美香实业有限公司、合肥金谷荃银种业有限公司、安徽荃银高科种业股份有限公司、合肥信达高科农业科学研,6659
徽两优989,国审稻20220131,2022,两系籼,长江中下游中籼迟熟组联合体,长江中下游,655.73,3.63,,621.58 (增产3.17%),131.5,三级,3.9/3.7,中感稻瘟病,5,5,9,,安徽袁氏农业科技发展有限公司 / 安徽袁氏农业科技发展有限公司、湖南中种金耘水稻育种研究有限公司,7086
徽两优五香丝苗,国审稻20220132,2022,两系籼,长江中下游中籼迟熟组联合体,长江中下游,631.3,4.2,,614.3 (增产4.4%),137.2,三级,3.7/3.8,中感稻瘟病,5,5,9,,安徽五星农业科技有限公司 / 安徽五星农业科技有限公司,6360
荃优210,国审稻20220162,2022,三系籼,长江中下游中籼迟熟组联合体,长江中下游,640.79,7.08,,645.56 (增产7.08%),134.3,二级,5.5/4.3,感稻瘟病,7,5,9,,安徽省创富种业有限公司 / 安徽省创富种业有限公司、中国水稻研究所、安徽荃银高科种业股份有限公司,6660
荃优美香丝苗1号,国审稻20220164,2022,三系籼,长江中下游中籼迟熟组联合体,长江中下游,628.9,3.4,,650.7 (增产5.0%),133.3,三级,4.2/4.8,感稻瘟病,7,5,9,,合肥信达高科农业科学研究所 / 深圳市金谷美香实业有限公司、合肥金谷荃银种业有限公司、安徽荃银高科种业股份有限公司、合肥信达高科农业科学研究所、安徽赛诺种业有限,5484
荃优鄂丰丝苗,国审稻20220257,2022,三系籼,华南感光晚籼组联合体,华南稻区,540.3,6.9,,566.8 (增产6.1%),112.3,三级,3.3/3.8,中感稻瘟病,5,9,9,,湖北荃银高科种业有限公司 / 湖北荃银高科种业有限公司、安徽荃银高科种业股份有限公司、武汉金玉良种科技有限公司,4631
荃优967,国审稻20226005,2022,三系籼,华南早籼组,华南稻区,540.2,0.2,,550.3 (增产2.0%),127.7,二级,3.0/2.4,中感稻瘟病,5,7,,,中国种子集团有限公司 / 中国种子集团有限公司、安徽荃银高科种业股份有限公司、湖北荆楚种业科技有限公司、荆州市瑞丰农业高科技研究所,5159
荃9优220,国审稻20226019,2022,三系籼,长江上游中籼迟熟组,长江上游,634.4,2.8,,629.5 (增产2.4%),152.2,二级,3.7/4.1,中感稻瘟病,5,,9,耐热性5级,江苏中江种业股份有限公司 / 江苏中江种业股份有限公司、安徽荃银高科种业股份有限公司、中国科学院遗传与发育生物学研究所,7749
荃9优2号,国审稻20226020,2022,三系籼,长江上游中籼迟熟组,长江上游,641.4,3.9,,650.6 (增产5.4%),151.3,二级,3.4/4.1,中感稻瘟病,5,,9,耐热性3级,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,7284
荃优607,国审稻20226027,2022,三系籼,长江上游中籼迟熟组,长江上游,667.6,5.0,,655.7 (增产4.8%),154.1,二级,3.8/4.6,感稻瘟病,7,,9,耐热性3级,中国种子集团有限公司 / 中国种子集团有限公司、安徽荃银高科种业股份有限公司,489
荃9优475,国审稻20226069,2022,三系籼,长江中下游中籼迟熟组,长江中下游,641.1,4.7,,628.8 (增产4.2%),131.9,三级,3.5/4.1,中感稻瘟病,5,3,9,,江苏中江种业股份有限公司 / 江苏中江种业股份有限公司、安徽荃银高科种业股份有限公司,7817
荃两优836,国审稻20226070,2022,两系籼,长江中下游中籼迟熟组,长江中下游,628.1,3.8,,614.1 (增产4.0%),132.7,一级,2.9/2.8,中感稻瘟病,5,5,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,6386
荃优53,国审稻20226072,2022,三系籼,长江中下游中籼迟熟组,长江中下游,633.2,4.9,,614.1 (增产4.2%),131.5,一级,3.7/2.9,中感稻瘟病,5,7,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,4327
荃优836,国审稻20226073,2022,三系籼,长江中下游中籼迟熟组,长江中下游,632.8,4.7,,608.5 (增产3.2%),131.9,一级,3.2/3.1,中感稻瘟病,5,7,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,5016
新两优611,国审稻20226116,2022,两系籼,长江中下游晚籼早熟组,长江中下游,582.2,3.1,,577.0 (增产4.3%),119.5,二级,3.3/2.5,中感稻瘟病,5,5,9,耐冷性中级,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,6425
荃香优香66,国审稻20231010,2023,三系籼,长江上游中籼迟熟组,长江上游,655.6,4.9,,621.1 (增产3.4%),149.6,二级,4.0/3.2,中感稻瘟病,5,,9,耐热性3级,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,4599
荃优212,国审稻20231011,2023,三系籼,长江上游中籼迟熟组,长江上游,614.3,-0.4,,629.3 (增产4.6%),154.4,一级,4.6/4.7,感稻瘟病,7,,9,耐热性3级,福建省农业科学院水稻研究所、安徽荃银高科种业股份有限公司 / 福建省农业科学院水稻研究所、安徽荃银高科种业股份有限公司,7711
荃两优6019,国审稻20231021,2023,两系籼,长江中下游中籼迟熟组,长江中下游,665.6,8.4,,689.6 (增产7.4%),133.8,二级,3.7/3.0,中感稻瘟病,5,7,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,6116
荃优1802,国审稻20231022,2023,三系籼,长江中下游中籼迟熟组,长江中下游,644.6,6.4,,622.3 (增产5.9%),132.1,,3.8/2.9,中感稻瘟病,5,7,9,,安徽荃丰种业科技有限公司 / 安徽荃银高科种业股份有限公司,6854
荃科优822,国审稻20232043,2023,三系籼,长江中下游中籼迟熟组,长江中下游,634.0,6.4,,610.4 (增产6.3%),131.2,二级,3.5/3.3,中感稻瘟病,5,5,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,6340
荃两优香66,国审稻20232045,2023,两系籼,长江中下游中籼迟熟组,长江中下游,624.6,3.7,,591.2 (增产1.7%),130.3,一级,2.9/3.3,中感稻瘟病,5,7,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,7384
荃香优1606,国审稻20232048,2023,三系籼,长江中下游中籼迟熟组,长江中下游,613.8,1.5,,576.6 (减产1.7%),130.1,一级,3.3/3.3,中感稻瘟病,5,9,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,7316
荃优6019,国审稻20232050,2023,三系籼,长江中下游中籼迟熟组,长江中下游,642.0,6.2,,628.0 (增产7.1%),133.9,一级,3.0/2.5,中感稻瘟病,5,5,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,6662
荃优879,国审稻20232051,2023,三系籼,长江中下游中籼迟熟组,长江中下游,650.2,9.2,,602.4 (增产4.9%),131.3,二级,3.2/2.8,中感稻瘟病,5,5,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司、广西荃鸿农业科技有限公司,7286
荃优香66,国审稻20232052,2023,三系籼,长江中下游中籼迟熟组,长江中下游,638.3,5.6,,608.8 (增产3.8%),130.8,一级,2.6/2.9,中感稻瘟病,5,5,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,6068
荃优玉稻,国审稻20233131,2023,三系籼,长江中下游中籼迟熟组联合体,长江中下游,660.3,7.7,,658.7 (增产8.5%),131.2,一级,3.8/4.1,感稻瘟病,7,7,9,,安徽华安种业有限责任公司 / 安徽华安种业有限责任公司、安徽荃银高科种业股份有限公司、四川旌洋农业科技有限责任公司,6612
荃两优087,国审稻20242008,2024,两系籼,长江上游中籼迟熟组,长江上游,647.2,2.6,,619.8 (增产2.7%),151.1,二级,3.2/4.0,中感稻瘟病,5,,9,耐热性1级,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,7143
荃两优879,国审稻20242009,2024,两系籼,长江上游中籼迟熟组,长江上游,652.3,3.4,,621.2 (增产2.9%),150.2,一级,2.9/4.9,感稻瘟病,7,,9,耐热性3级,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,7793
荃优919,国审稻20242012,2024,三系籼,长江上游中籼迟熟组,长江上游,661.8,4.9,,629.1 (增产4.2%),150.7,二级,3.7/3.4,中感稻瘟病,5,,9,耐热性3级,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,7876
荃广优9085,国审稻20242029,2024,三系籼,长江中下游中籼迟熟组,长江中下游,618.6,3.9,,607.9 (增产5.4%),137.2,一级,2.9/3.1,中感稻瘟病,5,5,9,,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,6077
荃两优1606,国审稻20242077,2024,两系籼,武陵山区中籼组,武陵山区,627.0,5.2,,614.0 (增产4.2%),140.4,一级,1.9/2.9,中抗稻瘟病,3,,,耐冷性3级,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,7695
荃优丝苗,国审稻20242078,2024,三系籼,武陵山区中籼组,武陵山区,644.9,8.2,,624.3 (增产6.2%),140.2,二级,2.0/3.9,中感稻瘟病,5,,,耐冷性7级,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司、广东省农业科学院水稻研究所,7751
荃两优粤农丝苗,国审稻20242083,2024,两系籼,长江上游中籼迟熟组,长江上游,665.6,5.9,,635.7 (增产3.7%),151.8,三级,3.5/4.0,中感稻瘟病,5,,9,耐热性1级,北京金色农华种业科技股份有限公司 / 北京金色农华种业科技股份有限公司、安徽荃银高科种业股份有限公司、广东省农业科学院水稻研究所,4600
荃优香66,国审稻20242085,2024,三系籼,长江上游中籼迟熟组,长江上游,660.4,6.4,,638.9 (增产4.3%),149.7,二级,4.1/4.1,中感稻瘟病,5,,9,耐热性3级,安徽荃银高科种业股份有限公司 / 安徽荃银高科种业股份有限公司,7727
荃两优985,国审稻20243087,2024,两系籼,长江中下游中籼迟熟组联合体,长江中下游,623.0,3.4,,619.0 (增产4.6%),131.7,一级,3.0/2.4,中感稻瘟病,5,5,9,,广东荃银种业科技有限公司 / 广东荃银种业科技有限公司、安徽荃银种业科技有限公司,7011
荃两优粤苗,国审稻20243088,2024,两系籼,长江中下游中籼迟熟组联合体,长江中下游,644.8,7.5,,670.4 (增产7.2%),132.2,二级,3.6/3.8,感稻瘟病,7,7,9,,安徽绿亿种业有限公司 / 安徽荃银高科种业股份有限公司、安徽绿亿种业有限公司、安徽省荃银爱地农业科技有限公司、四川台沃种业有限责任公司,7842
