variety,approval_no,year,type,region_group,region,yield_kg_per_mu,yield_gain_pct,ck,prod_trial,duration_d,quality_grade,blast_index,blast_text,neck_blast_max,blb,bph,heat_cold,applicant,row_index
全两优534,国审稻20200160,2020,两系籼,长江中下游中籼迟熟组联合体,长江中下游,638.27,3.11,丰两优四号,678.00 (增产9.00%),131.5,三级,3.9/3.6,中感稻瘟病,5,5,7,抽穗期耐热性较强,湖北荃银高科种业有限公司 / 湖北荃银高科种业有限公司、广东省农业科学院水稻研究所、安徽荃银高科种业股份有限公司,7394
徽两优815,国审稻20200167,2020,两系籼,长江中下游中籼迟熟组联合体,长江中下游,657.91,5.43,丰两优四号,660.60 (增产9.51%),131.1,三级,5.5/5.7,高感稻瘟病,9,9,9,抽穗期耐热性较强,湖南湘穗种业有限责任公司 / 湖南湘穗种业有限责任公司、安徽省农业科学院水稻研究所,4582
荃优164,国审稻20200178,2020,三系籼,长江中下游中籼迟熟组联合体,长江中下游,663.94,6.48,丰两优四号,656.59 (增产10.62%),133.6,,4.1/3.4,中感稻瘟病,,7,7,抽穗期耐热性较强,福建六三种业有限责任公司 / 三明市农业科学研究院、安徽荃银高科种业股份有限公司、福建六三种业有限责任公司,7510
徽两优1133,国审稻20200185,2020,两系籼,长江中下游中籼迟熟组联合体,长江中下游,666.41,4.73,丰两优四号,647.02 (增产3.28%),133.5,三级,4.7/3.8,感稻瘟病,,5,9,抽穗期耐热性一般,安徽锦健农业科技有限公司 / 安徽锦健农业科技有限公司、安徽省农业科学院水稻研究所、湖南金健种业科技有限公司,4901
徽两优8966,国审稻20200195,2020,两系籼,长江中下游中籼迟熟组联合体,长江中下游,662.77,8.03,,634.05 (增产3.47%),132.2,,5.1/5.4,感稻瘟病,,7,9,抽穗期耐热性较强,福建省福瑞华安种业科技有限公司 / 福建省福瑞华安种业科技有限公司、安徽省农业科学院水稻研究所,6103
徽两优982,国审稻20200196,2020,两系籼,长江中下游中籼迟熟组联合体,长江中下游,646.53,6.55,,632.53 (增产3.22%),130.1,,5.0/4.5,中感稻瘟病,,5,9,抽穗期耐热性较强,安徽凯利种业有限公司 / 安徽凯利种业有限公司、安徽省农业科学院水稻研究所,4492
荃优5438,国审稻20200198,2020,三系籼,长江中下游中籼迟熟组联合体,长江中下游,662.42,7.34,丰两优四号,663.32 (增产6.85%),133.3,,4.5/3.5,感稻瘟病,,9,9,抽穗期耐热性3级,广汉泰利隆农作物研究所 / 湖南隆平高科种业科学研究院有限公司、安徽荃银高科种业股份有限公司、湖南亚华种业科学研究院、广汉泰利隆农作物研究所,4245
荃两优069,国审稻20200210,2020,两系籼,长江中下游中籼迟熟组联合体,长江中下游,675.11,4.63,丰两优四号,648.37 (增产5.60%),133.1,二级,3.9/3.8,中感稻瘟病,,7,9,抽穗期耐热性较强,安徽荃银超大种业有限公司 / 安徽荃银高科种业股份有限公司、安徽荃银超大种业有限公司,4186
荃优全赢丝苗,国审稻20200211,2020,三系籼,长江中下游中籼迟熟组联合体,长江中下游,676.81,5.90,丰两优四号,641.03 (增产4.41%),132.4,二级,3.8/3.2,中抗稻瘟病,3,5,9,抽穗期耐热性较强,湖北荃银高科种业有限公司 / 湖北荃银高科种业有限公司、安徽荃银高科种业股份有限公司,3893
徽两优719,国审稻20200215,2020,两系籼,长江中下游中籼迟熟组联合体,长江中下游,649.69,4.68,丰两优四号,643.99 (增产2.75%),128,,6.2/6.0,高感稻瘟病,,7,9,抽穗期耐热性较强,安徽日辉生物科技有限公司 / 安徽日辉生物科技有限公司、安徽省农业科学院水稻研究所,4145
